player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,Goals scored per 90 minutes,Assists per 90 minutes,Goal+ Assist per 90 minutes,g-pk per 90 minutes,g+a-pk per 90 minutes,xg per 90 minutes,xag per 90 minutes,xg+xag per 90 minutes,npxg per 90 minutes,npxg+xag per 90 minutes,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Position,Date of birth / Age,Height,Foot,Market value,Club,League,role,prog_carries_90_any,prog_passes_rec_90_any,prog_passes_90_any,yc_90,rc_90,fwd_score,mf_score,df_score,gk_score,fwd_rank,mf_rank,df_rank,gk_rank,_market_value_eur,fwd_underrated,mf_underrated,df_underrated,gk_underrated,fwd_underrated_rank,mf_underrated_rank,df_underrated_rank,gk_underrated_rank
Vitinha,Portugal,24,52,3927.0,43.6,7.0,3.0,10.0,4.0,3.0,4.0,1.0,0.0,5.7,2.6,4.7,7.3,77.0,327.0,78.0,0.16,0.07,0.23,0.09,0.16,0.15,0.12,0.27,0.07,0.19,"5x Domestic League Champion, 2024-25 Champions League Champion",,,,,,,3.35,98.25,93.0,8.38,2.01,1.99,1.57,0.9,0.88,1.24,0.05,,,,,,,,Central Midfield,13.02.2000 (25),"1,72m",right,€80.00m,PSG,Ligue 1,MF,2.01,1.99,8.38,0.02293577981651376,0.0,,0.2548513976600287,,,,6.0,,,80000000.0,,3.1856424707503585e-09,,,,7.0,,
João Neves,Portugal,19,52,3776.0,42.0,5.0,9.0,14.0,5.0,0.0,0.0,4.0,0.0,5.1,5.1,5.7,10.8,57.0,234.0,112.0,0.12,0.21,0.33,0.12,0.33,0.14,0.16,0.3,0.14,0.3,"2x Domestic League Champion, 2024-25 Champions League Champion",,,,,,,3.07,73.11,91.4,6.35,1.56,2.95,3.26,0.95,1.37,1.37,1.0,,,,,,,,Central Midfield,27.09.2004 (20),"1,74m",right,€80.00m,PSG,Ligue 1,MF,1.56,2.95,6.35,0.09523809523809523,0.0,,0.01229229105812755,,,,9.0,,,80000000.0,,1.5365363822659437e-10,,,,9.0,,
Bradley Barcola,France,21,58,3655.0,40.6,21.0,18.0,39.0,21.0,0.0,0.0,4.0,0.0,19.5,19.5,13.9,33.3,198.0,121.0,551.0,0.52,0.44,0.96,0.52,0.96,0.54,0.38,0.92,0.54,0.92,"2x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,02.09.2002 (22),"1,82m",right,€70.00m,PSG,Ligue 1,FWD,4.876847290640394,13.571428571428571,2.980295566502463,0.09852216748768472,0.0,0.5966194953716039,,,,7.0,,,,70000000.0,8.523135648165769e-09,,,,5.0,,,
Nuno Mendes,Portugal,22,46,3572.0,39.7,5.0,5.0,10.0,5.0,0.0,0.0,8.0,0.0,4.4,4.4,6.3,10.6,100.0,225.0,155.0,0.13,0.13,0.25,0.13,0.25,0.13,0.18,0.31,0.13,0.31,"5x Domestic League Champion, 2024-25 Champions League Champion",4.48,2.26,1.17,1.11,2.51,1.0,,,,,,,,,,,,,,,,,,,Left-Back,19.06.2002 (23),"1,80m",left,€70.00m,PSG,Ligue 1,DF,2.5188916876574305,4.48,5.6675062972292185,0.20151133501259444,0.0,,,0.44603674350213796,,,,5.0,,70000000.0,,,6.371953478601971e-09,,,,7.0,
Gianluigi Donnarumma,Italy,25,40,3561.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,68.6,0.31,0.0,27.0,6.4,0.86,12.6,Goalkeeper,25.02.1999 (26),"1,96m",right,€40.00m,PSG,Ligue 1,GK,0.0,0.0,0.0,0.050505050505050504,0.0,,,,-0.6847765473283537,,,,8.0,40000000.0,,,,-1.7119413683208843e-08,,,,7.0
Marquinhos,Brazil,30,42,3554.0,39.5,3.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,1.8,1.8,1.4,3.2,36.0,238.0,5.0,0.08,0.0,0.08,0.08,0.08,0.05,0.04,0.09,0.05,0.09,"10x Ligue 1 Champion, 3x Coupe de la Ligue Champion, 2024-25 Champions League Champion",0.14,1.69,0.49,1.43,4.61,2.09,,,,,,,,,,,,,,,,,,,Centre-Back,14.05.1994 (31),"1,83m",right,€35.00m,PSG,Ligue 1,DF,0.9113924050632911,0.14,6.025316455696203,0.17721518987341772,0.0,,,0.36793242101705126,,,,6.0,,35000000.0,,,1.0512354886201465e-08,,,,,
Ousmane Dembélé,France,27,49,3307.0,36.7,33.0,13.0,46.0,32.0,1.0,1.0,3.0,1.0,24.7,23.9,11.9,35.8,216.0,224.0,390.0,0.9,0.35,1.25,0.87,1.22,0.78,0.38,1.15,0.75,1.13,"2024-25 Ligue 1 Male Player of the Year, 5x Domestic League Champion, 2024-25 Champions League Champion, 2018 World Cup Champion",,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,15.05.1997 (28),"1,78m",both,€90.00m,PSG,Ligue 1,FWD,5.885558583106267,10.626702997275203,6.103542234332425,0.08174386920980926,0.02724795640326975,1.4510584412936633,,,,1.0,,,,90000000.0,1.6122871569929593e-08,,,,4.0,,,
Désiré Doué,France,19,54,3012.0,33.5,15.0,14.0,29.0,15.0,0.0,0.0,2.0,0.0,7.8,7.8,10.4,18.2,149.0,166.0,296.0,0.45,0.42,0.87,0.45,0.87,0.29,0.38,0.67,0.29,0.67,"2024-25 Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,03.06.2005 (20),"1,81m",right,€90.00m,PSG,Ligue 1,FWD,4.447761194029851,8.835820895522389,4.955223880597015,0.05970149253731343,0.0,-0.08850973654293343,,,,11.0,,,,90000000.0,-9.834415171437048e-10,,,,12.0,,,
Warren Zaïre-Emery,France,18,48,2986.0,33.2,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.9,2.9,1.8,4.7,64.0,179.0,113.0,0.09,0.06,0.15,0.09,0.15,0.1,0.06,0.16,0.1,0.16,"3x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,2.61,70.24,91.6,6.37,2.37,4.03,2.2,0.92,1.46,0.88,0.44,,,,,,,,Central Midfield,08.03.2006 (19),"1,78m",right,€55.00m,PSG,Ligue 1,MF,2.37,4.03,6.37,0.09036144578313252,0.0,,-0.14652395915168984,,,,12.0,,,55000000.0,,-2.6640719845761786e-09,,,,16.0,,
Lucas Beraldo,Brazil,20,33,2453.0,27.3,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.4,1.4,10.0,137.0,0.0,0.04,0.0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,"2x Ligue 1 Champion, 2024-25 Champions League Champion",0.0,1.63,1.05,0.75,2.8,2.17,,,,,,,,,,,,,,,,,,,Centre-Back,24.11.2003 (21),"1,86m",left,€25.00m,PSG,Ligue 1,DF,0.3663003663003663,0.0,5.018315018315018,0.2564102564102564,0.0,,,0.05710939198182528,,,,13.0,,25000000.0,,,2.2843756792730113e-09,,,,12.0,
Khvicha Kvaratskhelia,Georgia,23,25,1800.0,20.0,7.0,5.0,12.0,7.0,0.0,0.0,1.0,0.0,5.3,5.3,6.4,11.7,104.0,69.0,196.0,0.35,0.25,0.6,0.35,0.6,0.29,0.35,0.64,0.29,0.64,"3x Domestic League Champion, 2024-25 Champions League Champion, 4x Georgian Footballer of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,12.02.2001 (24),"1,83m",both,€90.00m,PSG,Ligue 1,FWD,5.2,9.8,3.45,0.05,0.0,-0.36769512914135616,,,,15.0,,,,90000000.0,-4.085501434903957e-09,,,,15.0,,,
Gonçalo Ramos,Portugal,23,41,1675.0,18.6,18.0,6.0,24.0,14.0,4.0,5.0,2.0,0.0,16.3,14.0,3.0,16.9,14.0,26.0,68.0,0.97,0.32,1.29,0.75,1.07,1.15,0.21,1.36,0.98,1.19,"3x Domestic League Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,20.06.2001 (24),"1,85m",right,€40.00m,PSG,Ligue 1,FWD,0.7526881720430108,3.6559139784946235,1.3978494623655913,0.1075268817204301,0.0,0.0,,,,,,,,40000000.0,0.0,,,,,,,
Lucas Hernández,France,28,25,1221.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,6.0,57.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,"6x Domestic League Champion, 2x Champions League Champion, 2018 World Cup Champion",0.6,2.22,0.77,1.28,3.75,1.45,,,,,,,,,,,,,,,,,,,Left-Back,14.02.1996 (29),"1,84m",left,€25.00m,PSG,Ligue 1,DF,0.4411764705882353,0.6,4.1911764705882355,0.14705882352941177,0.0,,,0.0,,,,,,25000000.0,,,0.0,,,,,
Senny Mayulu,France,18,29,1083.0,12.0,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,3.2,3.2,2.1,5.2,30.0,49.0,59.0,0.42,0.25,0.66,0.42,0.66,0.33,0.22,0.55,0.33,0.55,"2x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,4.09,50.56,87.3,5.14,3.15,6.19,2.73,0.52,0.84,1.26,0.1,,,,,,,,Central Midfield,17.05.2006 (19),"1,83m",both,€15.00m,PSG,Ligue 1,MF,3.15,6.19,5.14,0.16666666666666666,0.0,,0.0,,,,,,,15000000.0,,0.0,,,,,,
Marco Asensio,Spain,28,16,753.0,8.4,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,5.8,5.8,2.8,8.6,22.0,38.0,56.0,0.24,0.48,0.72,0.24,0.72,0.69,0.34,1.02,0.69,1.02,"5x Domestic League Champion, 4x Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Attacking Midfield,21.01.1996 (29),"1,82m",left,€20.00m,PSG,Ligue 1,MF,2.619047619047619,6.666666666666666,4.523809523809524,0.0,0.0,,0.0,,,,,,,20000000.0,,0.0,,,,,,
Randal Kolo Muani,France,25,14,465.0,5.2,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,5.5,4.7,1.2,5.9,10.0,9.0,48.0,0.39,0.19,0.58,0.19,0.39,1.07,0.23,1.3,0.92,1.14,"2x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,05.12.1998 (26),"1,87m",right,€30.00m,PSG,Ligue 1,FWD,1.923076923076923,9.23076923076923,1.7307692307692306,0.0,0.0,0.0,,,,,,,,30000000.0,0.0,,,,,,,
Milan Škriniar,Slovakia,29,5,382.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,"3x Domestic League Champion, 4x Slovak Footballer of the Year",0.0,1.52,1.4,1.63,4.66,2.1,,,,,,,,,,,,,,,,,,,Centre-Back,11.02.1995 (30),"1,88m",right,€15.00m,PSG,Ligue 1,DF,0.7142857142857143,0.0,4.761904761904762,0.23809523809523808,0.0,,,0.0,,,,,,15000000.0,,,0.0,,,,,
Ibrahim Mbaye,France,16,10,354.0,3.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,1.1,2.9,15.0,9.0,54.0,0.25,0.25,0.51,0.25,0.51,0.48,0.3,0.78,0.48,0.78,2024-25 Ligue 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,24.01.2008 (17),"1,75m",right,€3.00m,PSG,Ligue 1,FWD,3.8461538461538463,13.846153846153847,2.307692307692308,0.0,0.0,0.0,,,,,,,,3000000.0,0.0,,,,,,,
Yoram Zague,France,18,6,273.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,5.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,2023-24 Ligue 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,15.05.2006 (19),"1,68m",right,€2.50m,PSG,Ligue 1,DF,1.6666666666666667,5.666666666666667,3.3333333333333335,0.0,0.0,,,0.0,,,,,,2500000.0,,,0.0,,,,,
Axel Tapé,France,16,3,251.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,10.08.2007 (17),"1,80m",right,€2.00m,PSG,Ligue 1,DF,0.35714285714285715,0.35714285714285715,1.7857142857142858,0.35714285714285715,0.0,,,0.0,,,,,,2000000.0,,,0.0,,,,,
Arnau Tenas,Spain,23,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.21,0.21,0.0,0.21,2023-24 Ligue 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,30.05.2001 (24),"1,85m",right,€3.00m,PSG,Ligue 1,GK,0.0,0.0,0.5,0.0,0.0,,,,0.0,,,,,3000000.0,,,,0.0,,,,
Presnel Kimpembe,France,28,5,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6x Ligue 1 Champion, 2x Coupe de la Ligue Champion, 2018 World Cup Champion",,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,13.08.1995 (29),"1,83m",left,€5.00m,PSG,Ligue 1,DF,1.1111111111111112,0.0,1.1111111111111112,1.1111111111111112,0.0,,,0.0,,,,,,5000000.0,,,0.0,,,,,
Noham Kamara,France,17,2,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,22.01.2007 (18),"1,83m",right,€500k,PSG,Ligue 1,DF,2.5,0.0,6.25,0.0,0.0,,,0.0,,,,,,500000.0,,,0.0,,,,,
Naoufel El Hannach,Morocco,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,07.12.2006 (18),"1,83m",right,-,PSG,Ligue 1,DF,,,,,,,,0.0,,,,,,,,,,,,,,
Louis Mouquet,Portugal,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,21.07.2004 (20),"1,87m",right,-,PSG,Ligue 1,GK,,,,,,,,,0.0,,,,,,,,,,,,,
Carlos Soler,Spain,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2x Ligue 1 Champion,,,,,,,3.26,42.73,85.2,3.58,1.09,2.36,1.02,0.51,1.21,1.34,0.64,,,,,,,,Central Midfield,02.01.1997 (28),"1,80m",right,€18.00m,PSG,Ligue 1,MF,1.09,2.36,3.58,,,,0.0,,,,,,,18000000.0,,0.0,,,,,,
Wassim Slama,France,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attacking Midfield,26.09.2008 (16),-,,-,PSG,Ligue 1,MF,,,,,,,0.0,,,,,,,,,,,,,,,
